Facility ID,Property type,Rating snapshot date,Original Loan Amount,Principal Repayment Type,Current Loan Balance,Interest rate,Property value,Net operating income,Contractual term,Months to maturity,Annual tenant turnover,Region,Property Class,Default flag
ABC1000001,Office building,2020-01-01,1460057.06,Fully amortizing,1460057.06,0.0766,2212207.66,185161.78,120,120,0.39,West,Class B,0
ABC1000002,Multifamily residential,2017-01-01,771057.52,Partially amortizing,583433.53,0.0757,1041969.62,49493.56,120,47,0.39,Northeast,,0
ABC1000003,Retail space,2021-01-01,611478.93,Fully amortizing,66243.55,0.0774,899233.72,70679.77,120,13,0.21,Northeast,,0
ABC1000004,Retail space,2021-01-01,1481909.06,Partially amortizing,1353476.94,0.049800000000000004,2117012.94,112413.39,60,34,0.29,South,,0
ABC1000005,Multifamily residential,2019-01-01,4968492.92,Partially amortizing,4140410.77,0.0593,7306607.24,594027.17,60,10,0.09,Midwest,,0
ABC1000006,Retail space,2016-01-01,1194237.85,Fully amortizing,895678.39,0.0755,1592317.14,131843.86,120,90,0.15,West,,0
ABC1000007,Multifamily residential,2016-01-01,5301542.17,Partially amortizing,4948106.02,0.0739,9639167.58,715226.23,60,40,0.26,Midwest,,0
ABC1000008,Retail space,2021-01-01,3798539.35,Fully amortizing,886325.85,0.0704,5669461.72,539732.76,120,28,0.24,Midwest,,0
ABC1000009,Retail space,2021-01-01,3443210.13,Partially amortizing,3248094.89,0.0718,5936569.19,461865.08,120,103,0.15,South,,0
ABC1000010,Office building,2016-01-01,2355546.63,Fully amortizing,1295550.64,0.0735,3569010.04,352975.09,120,66,0.09,Midwest,Class A,0
ABC1000011,Office building,2022-01-01,5228083.17,Partially amortizing,4182466.53,0.067,7468690.24,99333.58,120,60,0.11,Northeast,Class C,0
ABC1000012,Multifamily residential,2019-01-01,4701303.49,Partially amortizing,4450567.31,0.0738,7707054.91,282078.21,120,104,0.06,Northeast,,0
ABC1000013,Multifamily residential,2018-01-01,2920071.12,Partially amortizing,2433392.6,0.0634,5407539.11,526153.56,60,10,0.11,South,,0
ABC1000014,Retail space,2015-01-01,3447926.36,Fully amortizing,1245084.52,0.0902,5070479.95,369130.94,180,65,0.37,West,,0
ABC1000015,Retail space,2018-01-01,8456230.87,Partially amortizing,8399855.99,0.062,12080329.81,1216489.21,60,58,0.02,Northeast,,0
ABC1000016,Office building,2021-01-01,693404.83,Partially amortizing,626375.69,0.0519,1195525.57,104847.59,60,31,0.1,South,Class A,0
ABC1000017,Multifamily residential,2022-01-01,1018793.87,Partially amortizing,607880.34,0.067,1476512.85,81060.56,180,59,0.09,Northeast,,0
ABC1000018,Office building,2017-01-01,8142705.01,Partially amortizing,7437003.91,0.068,11003655.43,1235710.5,60,34,0.15,South,Class A,0
ABC1000019,Retail space,2022-01-01,3735894.34,Partially amortizing,2702296.91,0.0713,5929991.02,368252.44,180,97,0.26,Northeast,,0
ABC1000020,Office building,2015-01-01,2477243.87,Partially amortizing,2237776.97,0.069,2984631.17,121176.03,120,91,0.11,Northeast,Class B,0
ABC1000021,Office building,2018-01-01,1244760.54,Partially amortizing,842287.97,0.069,1728834.09,8644.17,120,23,0.07,Midwest,Class C,0
ABC1000022,Multifamily residential,2019-01-01,2928873.29,Partially amortizing,2899584.56,0.0739,4881455.48,432496.96,120,117,0.08,West,,0
ABC1000023,Office building,2019-01-01,4772907.09,Fully amortizing,2678131.2,0.0725,6917256.65,640537.97,180,101,0.1,Northeast,Class A,0
ABC1000024,Office building,2022-01-01,13632964.67,Partially amortizing,11042701.38,0.060899999999999996,20347708.47,1176097.55,60,3,0.01,Northeast,Class C,0
ABC1000025,Multifamily residential,2016-01-01,10298098.8,Partially amortizing,6487802.25,0.0759,15370296.72,1532418.58,120,9,0.05,Northeast,,0
ABC1000026,Office building,2021-01-01,29336935.97,Partially amortizing,27674509.6,0.0529,49723620.29,4112143.4,60,43,0.5,Northeast,Class A,0
ABC1000027,Office building,2023-01-01,12880366.72,Partially amortizing,12451021.16,0.056100000000000004,23418848.58,1529250.81,120,110,0.34,Northeast,Class C,0
ABC1000028,Office building,2021-01-01,1941481.89,Partially amortizing,1339622.5,0.0705,2554581.43,48281.59,120,27,0.15,Northeast,Class C,0
ABC1000029,Multifamily residential,2022-01-01,5823811.06,Partially amortizing,4969652.11,0.054400000000000004,9099704.78,717966.71,60,16,0.33,Northeast,,0
ABC1000030,Office building,2020-01-01,16775446.67,Fully amortizing,13979538.89,0.0604,26211635.42,1410185.99,60,50,0.53,Midwest,Class A,0
ABC1000031,Office building,2023-01-01,4672730.25,Fully amortizing,2570001.64,0.0655,6148329.28,402715.57,60,33,0.06,Northeast,Class B,0
ABC1000032,Multifamily residential,2019-01-01,6139497.94,Partially amortizing,5750663.07,0.0738,8647180.2,862123.87,120,101,0.01,South,,0
ABC1000033,Retail space,2019-01-01,1408427.4,Partially amortizing,1159605.23,0.0629,2012039.15,122734.39,60,7,0.05,Midwest,,0
ABC1000034,Retail space,2020-01-01,2940899.1,Partially amortizing,2744839.16,0.054000000000000006,5159472.1,327110.53,60,40,0.15,Northeast,,1
ABC1000035,Retail space,2017-01-01,11511451.2,Partially amortizing,9017303.44,0.0678,14389314.0,556866.45,120,55,0.39,South,,0
ABC1000036,Retail space,2015-01-01,8447448.32,Partially amortizing,8419290.16,0.0711,12608131.82,868700.28,120,119,0.07,South,,0
ABC1000037,Multifamily residential,2019-01-01,2360675.09,Partially amortizing,2211165.67,0.056799999999999996,3807540.47,272619.9,60,41,0.14,South,,0
