Facility ID,Property type,Rating snapshot date,Original Loan Amount,Principal Repayment Type,Current Loan Balance,Interest rate,Property value,Net operating income,Contractual term,Months to maturity,Annual tenant turnover,Region,Property Class,Default flag
ABC1000001,Office building,1/1/2020," $1,460,057.06 ", Fully amortizing ," $1,460,057.06 ",7.66%," $2,212,207.66 "," $185,161.78 ",120,120,39%,West,Class B,0
ABC1000002,Multifamily residential,1/1/2017," $771,057.52 ", Partially amortizing ," $583,433.53 ",7.57%," $1,041,969.62 "," $49,493.56 ",120,47,39%,Northeast,N/A,0
ABC1000003,Retail space,1/1/2021," $611,478.93 ", Fully amortizing ," $66,243.55 ",7.74%," $899,233.72 "," $70,679.77 ",120,13,21%,Northeast,N/A,0
ABC1000004,Retail space,1/1/2021," $1,481,909.06 ", Partially amortizing ," $1,353,476.94 ",4.98%," $2,117,012.94 "," $112,413.39 ",60,34,29%,South,N/A,0
ABC1000005,Multifamily residential,1/1/2019," $4,968,492.92 ", Partially amortizing ," $4,140,410.77 ",5.93%," $7,306,607.24 "," $594,027.17 ",60,10,9%,Midwest,N/A,0
ABC1000006,Retail space,1/1/2016," $1,194,237.85 ", Fully amortizing ," $895,678.39 ",7.55%," $1,592,317.14 "," $131,843.86 ",120,90,15%,West,N/A,0
ABC1000007,Multifamily residential,1/1/2016," $5,301,542.17 ", Partially amortizing ," $4,948,106.02 ",7.39%," $9,639,167.58 "," $715,226.23 ",60,40,26%,Midwest,N/A,0
ABC1000008,Retail space,1/1/2021," $3,798,539.35 ", Fully amortizing ," $886,325.85 ",7.04%," $5,669,461.72 "," $539,732.76 ",120,28,24%,Midwest,N/A,0
ABC1000009,Retail space,1/1/2021," $3,443,210.13 ", Partially amortizing ," $3,248,094.89 ",7.18%," $5,936,569.19 "," $461,865.08 ",120,103,15%,South,N/A,0
ABC1000010,Office building,1/1/2016," $2,355,546.63 ", Fully amortizing ," $1,295,550.64 ",7.35%," $3,569,010.04 "," $352,975.09 ",120,66,9%,Midwest,Class A,0
ABC1000011,Office building,1/1/2022," $5,228,083.17 ", Partially amortizing ," $4,182,466.53 ",6.70%," $7,468,690.24 "," $99,333.58 ",120,60,11%,Northeast,Class C,0
ABC1000012,Multifamily residential,1/1/2019," $4,701,303.49 ", Partially amortizing ," $4,450,567.31 ",7.38%," $7,707,054.91 "," $282,078.21 ",120,104,6%,Northeast,N/A,0
ABC1000013,Multifamily residential,1/1/2018," $2,920,071.12 ", Partially amortizing ," $2,433,392.60 ",6.34%," $5,407,539.11 "," $526,153.56 ",60,10,11%,South,N/A,0
ABC1000014,Retail space,1/1/2015," $3,447,926.36 ", Fully amortizing ," $1,245,084.52 ",9.02%," $5,070,479.95 "," $369,130.94 ",180,65,37%,West,N/A,0
ABC1000015,Retail space,1/1/2018," $8,456,230.87 ", Partially amortizing ," $8,399,855.99 ",6.20%," $12,080,329.81 "," $1,216,489.21 ",60,58,2%,Northeast,N/A,0
ABC1000016,Office building,1/1/2021," $693,404.83 ", Partially amortizing ," $626,375.69 ",5.19%," $1,195,525.57 "," $104,847.59 ",60,31,10%,South,Class A,0
ABC1000017,Multifamily residential,1/1/2022," $1,018,793.87 ", Partially amortizing ," $607,880.34 ",6.70%," $1,476,512.85 "," $81,060.56 ",180,59,9%,Northeast,N/A,0
ABC1000018,Office building,1/1/2017," $8,142,705.01 ", Partially amortizing ," $7,437,003.91 ",6.80%," $11,003,655.43 "," $1,235,710.50 ",60,34,15%,South,Class A,0
ABC1000019,Retail space,1/1/2022," $3,735,894.34 ", Partially amortizing ," $2,702,296.91 ",7.13%," $5,929,991.02 "," $368,252.44 ",180,97,26%,Northeast,N/A,0
ABC1000020,Office building,1/1/2015," $2,477,243.87 ", Partially amortizing ," $2,237,776.97 ",6.90%," $2,984,631.17 "," $121,176.03 ",120,91,11%,Northeast,Class B,0
ABC1000021,Office building,1/1/2018," $1,244,760.54 ", Partially amortizing ," $842,287.97 ",6.90%," $1,728,834.09 "," $8,644.17 ",120,23,7%,Midwest,Class C,0
ABC1000022,Multifamily residential,1/1/2019," $2,928,873.29 ", Partially amortizing ," $2,899,584.56 ",7.39%," $4,881,455.48 "," $432,496.96 ",120,117,8%,West,N/A,0
ABC1000023,Office building,1/1/2019," $4,772,907.09 ", Fully amortizing ," $2,678,131.20 ",7.25%," $6,917,256.65 "," $640,537.97 ",180,101,10%,Northeast,Class A,0
