interest_rate,contractual_term,months_to_maturity,annual_tenant_turnover,default_flag,is_partially_amortizing,is_office,property_class_ord,ltv,dscr,loan_age_months,amortization_rate,noi_yield,near_maturity_flag,balloon_risk,property_type_office_building,property_type_retail_space,region_northeast,region_south,region_west
0.0766,120,120,0.39,0,0,1,2,0.6600000019889634,1.6555898257681954,0,0.0,0.08369999948377359,0,0,1,0,0,0,1
0.0757,120,47,0.39,0,1,0,0,0.5599333404749364,1.120627895753038,73,0.24333332486012194,0.04750000292714868,0,0,0,0,1,0,0
0.0774,120,13,0.21,0,0,0,0,0.07366666588081239,13.78512055886824,107,0.8916666678932011,0.07859999956407329,0,0,0,1,1,0,0
0.0498,60,34,0.29,0,1,0,0,0.6393333335033843,1.6677764661079544,26,0.08666666765638109,0.05310000136324155,0,0,0,1,0,1,0
0.0593,60,10,0.09,0,1,0,0,0.5666666667579082,2.4194028422837386,50,0.1666666659957724,0.08130000018996505,1,1,0,0,0,0,0
0.0755,120,90,0.15,0,0,0,0,0.5624999992149805,1.9496688888415943,30,0.24999999790661476,0.0828000005074366,0,0,0,1,0,0,1
0.0739,60,40,0.26,0,1,0,0,0.5133333328768623,1.9559601323069549,20,0.06666666767266327,0.07419999953979428,0,0,0,0,0,0,0
0.0704,120,28,0.24,0,0,0,0,0.15633333352853118,8.649932214802572,92,0.7666666662279016,0.09520000075068856,0,0,0,1,0,0,0
0.0718,120,103,0.15,0,1,0,0,0.5471333334194661,1.980441304575633,17,0.05666666646336793,0.07779999949768968,0,0,0,1,0,1,0
0.0735,120,66,0.09,0,0,1,3,0.36299999873354233,3.7068270653401467,54,0.4500000027594444,0.09889999917175914,0,0,1,0,0,0,0
0.067,120,60,0.11,0,1,1,1,0.5599999994108739,0.38782785210168563,60,0.20000000114764815,0.013857998724253506,0,0,1,0,1,0,0
0.0738,120,104,0.06,0,1,0,0,0.5774666668360352,0.8588114056586811,16,0.053333332028730696,0.03660000003814687,0,0,0,0,1,0,0
0.0634,60,10,0.11,0,1,0,0,0.4500000000924635,3.4104451745571955,50,0.16666666666666663,0.09730000085010944,1,1,0,0,0,1,0
0.0902,180,65,0.37,0,0,0,0,0.24555555534737888,3.2868136163802486,115,0.638888888566634,0.0727999999290008,0,0,0,1,0,0,1
